Valor;Titulo;Quilometragem;Cambio;Combustivel;Localizacao
R$ 47.899;SPIN 2015/2016 1.8 LTZ 8V FLEX 4P AUTOMÁTICO;68.441;km;Flex;São Bernardo do Campo, Taboão
R$ 46.900;Etios Sedan 2018 Automático X;66.000;km;Flex;Jundiaí, Vila Arens II
R$ 44.999;Hyundai Santa Fe Blindada;70.000;km;Gasolina;São Paulo, Vila Romana
R$ 17.900;Gm Agile LTZ 1.4 Flex 2011;166.000;km;Flex;São Paulo, Instituto de Previdência
R$ 17.900;Gm Agile LTZ 1.4 Flex 2011;166.000;km;Flex;São Paulo, Instituto de Previdência
R$ 350.000;Ford fiesta 98;80.000;km;Gasolina;São Caetano do Sul, Osvaldo Cruz
R$ 24.990;Variant 1600 - Ano 1973 - Só pra quem gosta;11.111.111;km;Gasolina;São Paulo, Cangaíba
R$ 49.900;SAVEIRO 2018/2019 1.6 MSI TRENDLINE CS 8V FLEX 2P MANUAL;45.000;km;Flex;Jundiaí, Vila Arens II
R$ 65.890;Honda Hr-v 1.8 16v flex lx 4p automático;52.717;km;Flex;São Paulo, Chácara Santo Antônio (Zona Sul)
R$ 85.990;HYUNDAI IX35 2.0 TOP 2018 / 25MKM TROCO E FINANCIO;24.985;km;Flex;São Paulo, Vila Nova Conceição
R$ 41.000;COROLLA 2009/2010 1.8 XEI 16V FLEX 4P AUTOMÁTICO;128.639;km;Flex;São Paulo, Socorro
R$ 56.999;Mercedes-benz C 180 1.6 cgi classic 16v turbo gasolina 4p automático;81.000;km;Gasolina;São Paulo, Vila Sônia
R$ 45.900;FIAT ARGO 2019/2020 1.0 FIREFLY FLEX DRIVE MANUAL;48.080;km;Flex;São Paulo, Jardim Três Marias
R$ 52.990;Hyundai Tucson 2.0 Mpfi Gls Base 16v 143cv 2wd;40.063;km;Flex;Guarulhos, Jardim Santa Francisca
R$ 10.990;Celta 1.0 2006;200.000;km;Flex;Itapevi, Parque Itamarati
R$ 25.590;Fiat Mobi Easy 1.0 Flex Básico 2018 Doc Ok Km 31000;31.000;km;Flex;São Paulo, Jardim Maringá
R$ 169.990;VOLKSWAGEN TIGUAN 1.4 250 TSI TOTAL FLEX ALLSPACE COMFORTLINE TIPTRONIC;0;km;Flex;São Paulo, Perdizes
R$ 38.900;CITROEN AIRCROSS 1.6 TENDANCE 16V;88.000;km;Flex;São Paulo, Vila Nova Curuçá
R$ 143.900;VOLVO XC40 2018/2019 2.0 T4 GASOLINA GEARTRONIC;32.601;km;Gasolina;São Paulo, Jardim Três Marias
R$ 40.500;GOL 2019/2020 1.0 12V MPI TOTALFLEX 4P MANUAL;37.579;km;Flex;São Paulo, Jardim Três Marias
R$ 36.900;Chevrolet Montana LS 1.4;47.000;km;Flex;São Paulo, Tucuruvi
R$ 42.890;HYUNDAI Santa Fe GLS 3.5 V6 4x4 Tiptronic;102.000;km;Gasolina;São Paulo, Vila Ivone
R$ 74.900;Fusion SEL 248CV Ecoboost 2017;25.000;km;Gasolina;Mauá, Jardim Pedroso
R$ 52.500;Zap * ;65.000;km;Flex;Carapicuíba, Centro
R$ 15.500;Gol city ( Trend ) 1.0 Mi;99.000;km;Natural;São Paulo, Jardim Itapura
R$ 27.900;Palio Atractive 1.4 Flex 2014 completo, bom para Uber e 99;77.000;km;Flex;São Paulo, Itaim Paulista
R$ 102.990;JEEP COMPASS LONGITUDE 2.0 4x2 Flex 16V Aut.;38.728;km;Flex;São Paulo, Vila Ivone
R$ 84.890;AUDI A3 Sed.1.8/1.8 Ambit.16V TB FSI S-tronic;49.000;km;Gasolina;São Paulo, Vila Ivone
R$ 19.900;Meriva 1.4 maxx 2009;215.000;km;Flex;Osasco, Ayrosa
R$ 76.490;KIA MOTORS Sportage EX 2.0 16V/ 2.0 16V Flex Aut.;78.000;km;Flex;São Paulo, Vila Ivone
R$ 41.120;ONIX 2019/2019 1.0 MPFI JOY 8V FLEX 4P MANUAL;36.665;km;Flex;Osasco, Umuarama
R$ 23.999;Montana Sport 1.8 Flex 2005 Vermelha;130.000;km;Flex;São Paulo, Vila Baruel
R$ 34.900;Duster 1.6 Completa 2012 top;96.400;km;Flex;Barueri, Jardim dos Camargos
R$ 43.500;ONIX 2019/2019 1.0 MPFI LT 8V FLEX 4P MANUAL;46.950;km;Flex;Osasco, Umuarama
R$ 79.900;RENEGADE 2019/2019 1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;31.795;km;Flex;Osasco, Umuarama
R$ 11.900;Clio Sedan Privilege 1.6;105.000;km;Flex;São Paulo, Jardim São Luís
R$ 22.000;Saveiro 1.8 93/93 álcool;10.000;km;km;São Paulo, Tatuapé
R$ 35.500;208 1.2 active parck 2017;41.500;km;Flex;São Paulo, Jardim Noronha
R$ 8.900;ATOS PRIME Hinday 1.0 Completo 00/00;130;km;Gasolina;Guarulhos, Residencial Cerconi
R$ 89.890;VW - VOLKSWAGEN Golf GTi 2.0 TSI 220cv Aut.;37.000;km;Gasolina;São Paulo, Vila Ivone
R$ 7.000;Vectra 2.0 8v 98;190.000;km;Gasolina;São Paulo, Jardim Brasil (Zona Norte)
R$ 3.500;ZX Furio 1.8 citroem;150.000;km;Gasolina;São Bernardo do Campo, Jordanópolis
R$ 76.000;Golf gti 2.0 leilão média monta!;75.000;km;Gasolina;São Paulo, Jardim Santa Terezinha (Zona Leste)
R$ 28.900;Uno vivace 1.0 flex, 4 portas, Completo, Prata;8.800;km;Flex;São Paulo, Jardim Helena
R$ 61.890;VW - VOLKSWAGEN Golf Highline 1.4 TSI 140cv Aut.;87.000;km;Gasolina;São Paulo, Vila Ivone
R$ 31.000;Hb20s 2014 1.0 completo zerado;90.000;km;Flex;São Paulo, Jardim São Pedro
R$ 18.000;Ford f100 1978 4cc gasolina;100.000;km;Gasolina;Bragança Paulista, Chácara Alvorada
R$ 48.900;Hyundai Hb20s 1.0 comfort plus 12v flex 4p manual;32.000;km;Flex;São Paulo, Jardim São Pedro
R$ 30.100;ONIX 2014/2014 1.0 MPFI LT 8V FLEX 4P MANUAL;167.000;km;Flex;São Paulo, Itaberaba
R$ 22.900;Picasso com apenas 87.000 km;87.000;km;Flex;Jundiaí, Jardim Pacaembu
R$ 94.990;T-cross comfortline 200 tsi automática 1.0 impecável chamar Katia *;18.000;km;Flex;São Paulo, Vila Prudente
R$ 16.890;207 2010/2010 1.4 XR SPORT SW 8V FLEX 4P MANUAL;160.608;km;Flex;São Paulo, Itaberaba
R$ 22.900;Fiesta sedan 1.6 2012 completo;102.000;km;Flex;São Paulo, Socorro
R$ 16.890;207 2010/2010 1.4 XR SPORT SW 8V FLEX 4P MANUAL;160.608;km;Flex;São Paulo, Itaberaba
R$ 22.900;Fiesta sedan 1.6 2012 completo;102.000;km;Flex;São Paulo, Socorro
R$ 15.999;Volkswagen gol 2006 1.0 mi city 8v flex 4p manual g.iv;177;km;Flex;Osasco, km 18
R$ 25.900;Chevrolet Celta 1.0 Mpfi ls 8v;79.410;km;Flex;São Paulo, Pedreira
R$ 25.900;408 Allure 2.0 AT - Super ofertaaaa;98.000;km;Flex;São Paulo, Cangaíba
R$ 59.990;AZERA 2011/2012 3.0 MPFI GLS V6 24V GASOLINA 4P AUTOMÁTICO;69.500;km;Gasolina;São Paulo, Jardim Independência
R$ 49.000;Spacefox 1.6 trendline;19.200;km;Flex;São Paulo, Parque da Vila Prudente
R$ 32.000;Kombi food truck ;0;km;Gasolina;São Paulo, Vila Aricanduva
R$ 7.500;Gol;1.111.111.111;km;Gasolina;Diadema, Conceição
R$ 32.000;Hb20 - 13/14 - segundo dono;72.000;km;Flex;Osasco, Bussocaba
R$ 29.890;Doblò adventure;150.100;km;Flex;São Paulo, Casa Verde Alta
R$ 26.900;Accord 3.0 V6 Blindado ;221.600;km;Gasolina;São Bernardo do Campo, Rudge Ramos
R$ 32.500;Uno Sporting 1.4 /2014;126;km;Flex;São Paulo, Siciliano
R$ 16.500;Renalt Logan 2010 completo;97.800;km;Flex;Guarulhos, Jardim Adriana
R$ 45.000;Honda Civic;90.000;km;Flex;Nazaré Paulista
R$ 10.000;Fiat uno;180.000;km;Flex;São Paulo, Jardim Ipanema (Cidade Líder)
R$ 60.900;Mitsubishi Outlander 2.0 16V com 160 CV Com teto solar;96.000;km;Gasolina;Suzano, Centro
R$ 19.900;207 XR 1.4 - Apenas 52.000 km;52.000;km;Flex;São Paulo, Cangaíba
R$ 23.000;Lindo Corsa Max 11/12 com apenas 59.000 km;59.000;km;Flex;São Paulo, Vila Formosa
R$ 14.500;Gol Ecomotion 1.0 8 V Flex 2013;158.300;km;Flex;São Roque, Parque 9 de Julho
R$ 12.000;Gol quadrado 1.0 CHT ;0;km;Gasolina;Guarulhos, Residencial e Comercial Guarulhos
R$ 22.590;Idea elx;192.500;km;Flex;São Paulo, Casa Verde Alta
R$ 10.000;Voyage 89 Turbo;123.456;km;Álcool;São Paulo, Limoeiro
R$ 71.000;Toyota corolla xei;80.000;km;Flex;São Paulo, Lauzane Paulista
R$ 46.500;FORD KA 2019/2019 1.5 TI-VCT FLEX SE SEDAN MANUAL;35.067;km;Flex;São Paulo, Vila Guilherme
R$ 44.540;PRISMA 2019/2019 1.0 MPFI JOY 8V FLEX 4P MANUAL;38.528;km;Flex;São Paulo, Vila Guilherme
R$ 53.900;PRISMA 2019/2019 1.4 MPFI LT 8V FLEX 4P MANUAL;40.871;km;Flex;São Paulo, Vila Guilherme
R$ 14.000;Parati MI 97 1.6;167.264;km;Gasolina;São Paulo, Jardim Itatiaia
R$ 41.120;ONIX 2019/2019 1.0 MPFI JOY 8V FLEX 4P MANUAL;37.460;km;Flex;São Paulo, Vila Guilherme
R$ 17.900;Volkswagen fox 2008 1.0 mi 8v flex 4p manual;0;km;Flex;Carapicuíba, Parque Jandaia
R$ 18.900;Fiat Idea 1.4 Mpi Elx 8v;2;km;Flex;Santo André, Vila Alto de Santo André
R$ 15.000;C4 pallas 2008 manual por 15mil ;161.000;km;Gasolina;São Paulo, Jardim da Conquista (Zona Leste)
R$ 82.000;Jetta 211cv aceito troca;33.000;km;Automático;Guarulhos, Vila Nova Cumbica
R$ 10.000;Civic Ex 99 Manual;216.000;km;Gasolina;São Paulo, Guarapiranga
R$ 33.900;Logan Expression 1.6 Flex, Completo, 2015, Prata;120.000;km;Flex;São Paulo, Jardim Helena
R$ 23.800;Vendo Suzuki 4wD automática 2011 não é kia soul,ronda fit,Corsa,palio,vectra,Montana;80.000;km;Gasolina;São Paulo, Jardim Três Marias
R$ 25.000;Fiat Bravo ;1;km;Flex;São Paulo, Recanto Paraíso
R$ 86.900;Volkswagen T-Cross 2020;13.000;km;Flex;Guarulhos, Vila Hulda
R$ 28.000;Voyage itrend ano 2014 - 1.6 ;138.000;km;Flex;Itaquaquecetuba, Jardim Nossa Senhora D'Ajuda
R$ 41.900;Chevrolet prisma 2019 1.0 mpfi joy 8v flex 4p manual;49.000;km;Flex;Osasco, Vila Yara
R$ 49.900;Honda fit 2015 1.5 lx 16v flex 4p automÁtico;0;km;Flex;Osasco, Vila Yara
R$ 33.890;CHEVROLET CAPTIVA 2009/2010 3.6 SFI AWD V6 24V GASOLINA 4P AUTOMÁTICO;82.000;km;Gasolina;São Paulo, Jardim das Acácias
R$ 59.900;Nissan Kicks 1.6 16v flex s 4p manual;50.778;km;Flex;São Paulo, Jardim Independência
R$ 63.900;Audi Sedan Attraction 1.4 Tfsi Tiptronic Completa;72.500;km;Gasolina;Guarulhos, Jardim Santa Mena
R$ 7.000;MotoG 4;86.530;km;Gasolina;Itapevi, Conjunto Habitacional - Setor B
R$ 12.000;Voyage ano90 1.8 AP forjado ;0;km;Gasolina;Jundiaí, Fazenda Grande
R$ 19.990;Honda Fit 1.4 Lxl 16v;200.000;km;Flex;São Bernardo do Campo, Centro
R$ 54.890;Sportage ex;125.000;km;Gasolina;São Paulo, Casa Verde Alta
R$ 48.800;Tiggo 2;19.000;km;Flex;São Paulo, Jardim Novo Santo Amaro
R$ 138.490;VW - VOLKSWAGEN AMAROK Comfor. CD 2.0 TDI 4x4 Dies. Aut.;44.000;km;Diesel;São Paulo, Vila Ivone
R$ 33.900;Logan Expression 1.6 2016 completo;68.000;km;Flex;São Caetano do Sul, Santa Maria
R$ 19.990;LINEA 2008/2009 1.9 MPI 16V FLEX 4P AUTOMATIZADO;125.000;km;Flex;São Paulo, Ipiranga
R$ 74.900;TRACKER LTZ 1.4 TURBO TOP DE LINHA 2017;17.000;km;Flex;Guarulhos, Jardim Pinhal
R$ 34.000;Cobalt 1.8 LTz Automático Completo;70.000;km;Flex;Itapecerica da Serra, Jardim Paraíso
R$ 39.900;Audi a3 sportback ;110.000;km;Gasolina;Diadema, Piraporinha
R$ 85.900;NISSAN KICKS 1.6 16V FLEXSTART SL 4P XTRONIC.;40.198;km;Flex;São Paulo, Vila Andrade
R$ 81.500;Fiat TORO 1.8 EVO FLEX ENDURANCE AT6;4;km;Flex;São Paulo, Jardim São Pedro
R$ 38.900;FORD KA + 2017/2018 1.0 TI-VCT FLEX SE MANUAL;42.466;km;Flex;São Paulo, Jardim Maringá
R$ 89.900;Creta Prestige 2.0 automática flex!;20.000;km;Flex;São Paulo, Moema
R$ 40.900;Hyundai elantra 2015 novissimo lindo automatico prata ;24.000;km;Flex;São Paulo, Jardim Beatriz (Zona Leste)
R$ 97.000;Iveco dayli azul 35s14;309.000;km;Diesel;São Paulo, Vila Esperança
R$ 54.900;A1 2012/2013 1.4 TFSI ATTRACTION 16V 122CV GASOLINA 4P AUTOMÁTICO;60.000;km;Gasolina;São Paulo, Pirituba
R$ 78.090;Chevrolet Cruze 1.4 turbo lt 16v flex 4p automático;43.685;km;Flex;São Paulo, Itaim Paulista
R$ 41.800;HONDA FIT 1.4 LX 16V;106.000;km;Flex;São Caetano do Sul, Santo Antônio
R$ 65.990;STRADA 2020/2021 1.4 FIRE FLEX ENDURANCE CS MANUAL;0;km;Flex;São Bernardo do Campo, Centro
R$ 16.900;Gm Meriva Joy 1.8 2005;137.500;km;Flex;Santo André, Vila Tibiriçá
R$ 13.200;CELTA 2011// 1.0 LT 8V (FLEX);82.000;km;Flex;São Paulo, Mooca
R$ 7.500;Celta | 2003 | 150km | Zona Leste ;152.000;km;Gasolina;São Paulo, Vila Carmosina
R$ 30.600;Volkswagen Lindo CrossFox 1.6 top de linha 2015 Manual;24.000;km;Flex;São Paulo, Vila Ré
R$ 61.900;AMAROK perfeita 2.0 CAB.DUPLA impecável 2013 contemple em 24x;36.000;km;Diesel;São Paulo, Parque Savoy City
R$ 39.500;Pegeout 308 thp 2015 automatico;45.000;km;Gasolina;São Paulo, Vila Ivone
R$ 40.000;Carro Tracker LTZ  único dono;250.000;km;Flex;Santana de Parnaíba, Alphaville
R$ 46.900;Corola xei completo 2012;1;km;Flex;São Paulo, Vila Amália (Zona Norte)
R$ 60.500;VIRTUS 2019/2020 1.6 MSI TOTAL FLEX MANUAL;35.000;km;Flex;São Paulo, Santo Amaro
R$ 120.000;EOS 2008/2009 2.0 FSI LUX CONVERSÍVEL 16V TURBO INTERCOOLER GASOLINA 2P TIPTRONIC;70.000;km;Gasolina;Guarulhos, Ponte Grande
R$ 92.880;COROLLA 2.0 XEI IMPECÁVEL MUITO NOVO MULTIMIDIA C/ TV E GPS!!!;43.000;km;Flex;Santo André, Tamanduateí 8
R$ 3.500;Carro;1.888.888;km;Gasolina;Caieiras
R$ 33.000;Fox Highiline 1.6 baixo km;60;km;Flex;São Paulo, Jardim Olinda
R$ 26.900;Fusca raridade;46.000;km;Gasolina;São Paulo, Jaçanã
R$ 30.890;UNO 1.0 ATTRACTIVE 2016, Completo, Único dono!!! S/Ent 878 FIXAS!!!;66.000;km;Flex;Santo André, Tamanduateí 8
R$ 26.000;Up run 2016/2017 automático ;53.000;km;Flex;São Paulo, Jardim Íris
R$ 9.890;Peugeot 206  Hatch. Presence 1.4 (Flex) 2P - Completo;70.000;km;Flex;Osasco, km 18
R$ 275.000;Porsche Panamera Turbo 2010;37.000;km;Gasolina;São Paulo, Vila Brasílio Machado
R$ 34.390;CITROEN C3 C3 ATTRA/ORIGINE PACK 1.5 FLEX 8V 5P MEC;50.666;km;Flex;São Paulo, Vila Moinho Velho
R$ 29.990;Nissan March 1.0 S - Completo - Pneus Novos - 2018;58.000;km;Flex;São Paulo, Tucuruvi
R$ 179.900;BMW X3 XDRIVE 35i/M-Sport 3.0 306cv Bi-Turbo;76.627;km;Gasolina;São Paulo, Pinheiros
R$ 75.890;HYUNDAI AZERA 3.0 MPFI GLS V6 24V;43.000;km;Gasolina;Santo André, Tamanduateí 8
R$ 73.500;Toyota Corolla xei 2017 2°dono carro impecável ;64.000;km;Flex;São Paulo, Chácara Califórnia
R$ 46.900;Volkswagen Up 1.0 Ano 2020!!! IMPECÁVEL!!!;7.000;km;Flex;São Paulo, Tucuruvi
R$ 77.890;IX35 2016/2017 2.0 MPFI GLS 16V FLEX 4P AUTOMÁTICO;33.000;km;Flex;Guarulhos, Vila Hulda
R$ 31.880;Fiat 500 Sport 1.4 Impecável!!;109.098;km;Gasolina;Santo André, Tamanduateí 8
R$ 55.900;Cobalt ltz 1.8 aut;29.000;km;Flex;Jundiaí, Vila Arens II
R$ 22.900;Crossfox 1.6 Flex, 2007, Vermelho;170.000;km;Flex;São Paulo, Jardim Helena
R$ 32.490;Grand livina sl 1.8 flex 2012 7 lugares, Completo, Automático!!! Pneus novos!!!;129;km;Flex;Santo André, Tamanduateí 8
R$ 57.600;Vende se uma ecosport 2019 se 1.5 manual;49;km;Flex;São Paulo, Parque Savoy City
R$ 20.990;Fiat Idea Elx 1.4 Completa Novissima Financia Parcela Em Até 18x No Cartão;1;km;Flex;Santo André, Vila Helena
R$ 43.500;ONIX 2019/2019 1.0 MPFI LT 8V FLEX 4P MANUAL;54.883;km;Flex;São Paulo, Vila Sônia
R$ 14.500;FIAT PALIO 1.0 MPI FIRE ECONOMY 8V EM ÓTIMO ESTADO DE CONSERVAÇÃO;189.903;km;Flex;São Paulo, Jardim D'Abril
R$ 52.900;HONDA CR-V;85.000;km;Gasolina;São Paulo, Pedreira
R$ 158.800;Bmw - x1 - 2.0 16v turbo gasolina s-drive 20I 4P automatico;25.500;km;Flex;São Paulo, Vila Guilherme
R$ 20.990;Fiat Idea Elx 1.4 Completa Novissima Financia Parcela Em Até 18x No Cartão;1;km;Flex;Santo André, Vila Helena
R$ 43.500;ONIX 2019/2019 1.0 MPFI LT 8V FLEX 4P MANUAL;54.883;km;Flex;São Paulo, Vila Sônia
R$ 14.500;FIAT PALIO 1.0 MPI FIRE ECONOMY 8V EM ÓTIMO ESTADO DE CONSERVAÇÃO;189.903;km;Flex;São Paulo, Jardim D'Abril
R$ 52.900;HONDA CR-V;85.000;km;Gasolina;São Paulo, Pedreira
R$ 158.800;Bmw - x1 - 2.0 16v turbo gasolina s-drive 20I 4P automatico;25.500;km;Flex;São Paulo, Vila Guilherme
R$ 15.000;Ford Ranger XL 4.0 CS 1995 Único dono;200.000;km;Gasolina;São Paulo, Santo Amaro
R$ 89.800;Land Rover - Evoque - 2.0 Pure Tech 4wd 16v gasolina 4p automatico;76.756;km;Gasolina;São Paulo, Vila Guilherme
R$ 25.900;Nissan Tiida 1.8 SL 2010 - Financiamento sem entrada;125.000;km;Flex;São Bernardo do Campo, Centro
R$ 37.990;Logan Expression 1.6 completo;45.000;km;Flex;São Paulo, Casa Verde
R$ 34.900;Fit LX 2013;130.000;km;Flex;Barueri, Alphaville Centro Industrial e Empresarial/Alphaville.
R$ 35.000;Novíssima Duster Dynamic 2.0;55.000;km;Flex;São Paulo, Pinheiros
R$ 15.900;Vendo ou troco Peugeot 207 se XR s;165.000;km;Flex;São Paulo, Parque São Luís
R$ 63.700;VOLKSWAGEN POLO 1.0 200 TSI COMFORTLINE AUTOMÁTICO;7.000;km;Flex;São Paulo, Brás
R$ 123.900;VOLKSWAGEN T-CROSS 1.4 250 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO;28.000;km;Flex;São Paulo, Brás
R$ 19.200;Corsa Sedan Premium Econoflex 1.4 Completo;168.000;km;Flex;Santo André, Vila Homero Thon
R$ 9.800;GM/ Corsa Wind 2 portas 2002 ( Impecável);130.000;km;Gasolina;Santo André, Parque Industriário
R$ 27.500;Celta LT 2015;124.000;km;Flex;São Paulo, Jardim Rincão
R$ 66.000;Gran Cherokee 2012 Blindada;105.000;km;Gasolina;São Paulo, Indianópolis
R$ 16.000;Fiat uno vivace duas portas 1.0 ;150.000;km;Flex;São Paulo, Jardim das Laranjeiras (Zona Sul)
R$ 52.890;COROLLA 2013/2014 2.0 XEI 16V FLEX 4P AUTOMÁTICO;97.900;km;Flex;Taboão da Serra, Jardim Santa Cecília
R$ 60.790;Renault Logan 1.0 12v Sce Zen;0;km;Flex;São Bernardo do Campo, Assunção
R$ 53.000;Hyundai HR 2012 Bau - Varias Unidades;120.000;km;Diesel;Guarulhos, Parque Cecap
R$ 10.000;Fiesta Rocam 1.0 Completo 2003;143.000;km;Gasolina;Itapecerica da Serra, Embu Mirim
R$ 58.990;Honda civic 2015 2.0 lxr 16v flex 4p automÁtico;116.525;km;Flex;Osasco, Vila Yara
R$ 36.490;Peugeot 208  ACTIVE 1.2 (Flex) DIR. ELÉTRICA B/UBER;48.000;km;Flex;Santo André, Jardim Utinga
R$ 57.900;Toyota YARIS XLS 1.5 automatico 2019;21.000;km;Flex;São Paulo, Parque São Rafael
R$ 48.390;Renault Kwid 1.0 12v Sce Outsider;0;km;Flex;São Bernardo do Campo, Assunção
R$ 8.500;Gol 1.0  8v 2002 GNV;250.000;km;Natural;Diadema, Centro
R$ 27.990;Ford Fiesta Sedan 1.6 16v Flex 2012;98.000;km;Flex;São Paulo, Parque da Mooca
R$ 62.999;Mercedes-Benz classe c c-180 cgi branca;94.980;km;Gasolina;São Paulo, Jardim Peri
R$ 10.500;Corsa classic 2007;222.000;km;Flex;São Paulo, Jardim Nove de Julho
R$ 28.900;Sandero 2016 Automático 1.6 com Baixa Kilometragem;38.000;km;Flex;São Paulo, Jardim Maria Duarte
R$ 15.900;Clio Campus 1.0 flex;95.000;km;Flex;Jundiaí, Vila Arens II
R$ 29.900;STRADA 2013 COM BAU DE FIBRA;106;km;Flex;São Paulo, Jardim Maringá
R$ 52.900;Ford Ka 1.0 ti-vct flex freestyle manual;17.615;km;Flex;São Bernardo do Campo, Centro
R$ 25.000;Corcel 2 L 1.4 Gasolina Carro impecável ano 1978;97.450;km;Gasolina;São Paulo, Vila Norma
R$ 9.800;Fiesta 2006 1.0;126.500;km;Gasolina;Santo André, Jardim Santo Alberto
R$ 27.900;VW FOX 1.0 TRED COMPLETO;70.000;km;Flex;São Paulo, Cidade Monções
R$ 11.500;Gol G4 - 2007;185.000;km;Flex;Taboão da Serra, Parque Monte Alegre
R$ 32.400;Sandero 2018;42.000;km;Flex;São Caetano do Sul, Santa Maria
R$ 54.999;MINI COUNTRYMAN 1.6 CHILLI 16V 120CV;70.300;km;Gasolina;São Paulo, Vila Nova Conceição
R$ 28.900;RENAULT SANDERO 1.6 PRIVILEGE 16V;72.652;km;Flex;Santo André, Tamanduateí 8
R$ 48.900;IX35 2010/2011 2.0 MPFI GLS 4X2 16V GASOLINA 4P AUTOMÁTICO;140.000;km;Gasolina;Jundiaí, Vila Loureiro
R$ 33.890;Hyundai Azera Gls 3.3 2009;98.000;km;Gasolina;Santo André, Jardim
R$ 45.990;Toyota Corolla Sedan 1.8 Dual VVT-i GLI (aut) (flex);127;km;Flex;São Paulo, Vila das Belezas
R$ 279.000;PORSCHE BOXSTER 3.4 S I6 24V;34.452;km;Gasolina;São Paulo, Vila Nova Conceição
R$ 33.900;Nissan March  1.0 12V S (Flex) FLEX MANUAL;73.000;km;Flex;Osasco, Vila Yara
R$ 41.575;Ford-Ka + sedan 1.5 Sel;66.000;km;Flex;São Paulo, Vila Norma
R$ 22.900;MAGENTIS 2007/2007 2.0 EX SEDAN 16V GASOLINA 4P AUTOMÁTICO;146.000;km;Gasolina;São Paulo, Moinho Velho
R$ 41.575;Ford-Ka + sedan 1.5 Sel;66.000;km;Flex;São Paulo, Vila Norma
R$ 22.900;MAGENTIS 2007/2007 2.0 EX SEDAN 16V GASOLINA 4P AUTOMÁTICO;146.000;km;Gasolina;São Paulo, Moinho Velho
R$ 49.900;FOCUS 2016/2017 2.0 SE FASTBACK 16V FLEX 4P POWERSHIFT;63.000;km;Flex;São Paulo, Moinho Velho
R$ 22.900;Fiat Siena ELX 1.4 Flex Completo;90.300;km;Flex;Caieiras, Serpa
R$ 22.890;MERIVA 2009/2010 1.8 MPFI EXPRESSION 8V FLEX 4P AUTOMATIZADO;89.000;km;Flex;Santo André, Vila Alto de Santo André
R$ 40.900;Honda City LX 2014;93.000;km;Flex;Santo André, Vila Pires
R$ 7.500;Vende.se ou troca $7500 .;220;km;Gasolina;Jundiaí, Fazenda Grande
R$ 13.900;Cherry face,  2012, completo ;90.000;km;Gasolina;São Paulo, Vila Arapuã
R$ 33.900;Nissan March 1.6 SV Flex 4p 2016 Impecável ;55.700;km;Flex;São Paulo, Vila Mafra
R$ 42.990;KA se Tivict 1.0;27.000;km;Flex;São Paulo, Vila Carrão
R$ 17.500;Corsa sedan Premium 1.4 econoflex;145.000;km;Flex;Barueri, Parque dos Camargos
R$ 17.000;Vendo Ducato 2,8 disso  17 mil reais.  ;0;km;Diesel;São Paulo, Brás
R$ 22.000;Kombi 2012 ;202.000;km;Flex;São Paulo, Vila Jacuí
R$ 13.000;Fusca 1500 ano 73;92.000;km;Gasolina;São Bernardo do Campo, Batistini
R$ 6.900;Gol 94/ 1.6 ap ;49.000;km;Gasolina;Jundiaí, Chácaras Saudáveis e Encantadoras
R$ 33.900;Ford Fiesta 1.6 automático 2014;63.000;km;Flex;Embu das Artes, Parque Francisco Rizzo
R$ 31.900;Soul EX 1.6 manual;56.000;km;Gasolina;Jundiaí, Vila Rami
R$ 51.000;City automático cvt estado de 0km;37.900;km;Flex;São Paulo, Parque Dom João Neri
R$ 57.900;Volkswagen Polo Msi 1.6 16v Automático 27.000km 2019;27.000;km;Flex;São Paulo, Vila Leopoldina
R$ 17.000;Gol g4 2011;128.020;km;Flex;São Paulo, Vila Irmãos Arnoni
R$ 66.900;Ranger XLS 2.5 Flex, Completo, 2013, Azul, baixa quilometragem;51.000;km;Flex;São Paulo, Jardim Helena
R$ 22.900;MERIVA 2009/2010 1.8 MPFI PREMIUM 8V FLEX 4P AUTOMATIZADO;98.841;km;Flex;Jundiaí, Vila Agrícola
R$ 75.990;Ford EcoSport Titaniun 2.0 Automático Completo Flex;14.000;km;Flex;Santo André, Jardim Alzira Franco
R$ 78.090;Chevrolet Cruze 1.4 turbo lt 16v flex 4p automático;42.350;km;Flex;São Paulo, Casa Verde Média
R$ 17.900;Idea ELX 1.4 completo;255.000;km;Flex;Santo André, Centro
R$ 5.000;Sandero stepway 1.6 2014/2015;180.000;km;Natural;São Paulo, Jabaquara
R$ 133.800;X1 2017/2018 2.0 16V TURBO ACTIVEFLEX SDRIVE20I 4P AUTOMÁTICO;37.699;km;Flex;São Caetano do Sul, Cerâmica
R$ 91.000;Hilux 2015 CD. 4X4 SRV;128.900;km;Gasolina;Vargem Grande Paulista
R$ 8.800;Fusca 1.300cc;55;km;Gasolina;Guarulhos, Jardim Cocaia
R$ 37.800;PAJERO TR4 2009/2010 2.0 4X4 16V 140CV FLEX 4P AUTOMÁTICO;91.262;km;Flex;São Caetano do Sul, Cerâmica
R$ 4.500;Vendo ou Troco Clio por moto;130.000;km;Gasolina;Suzano, Vila Helena
R$ 36.900;Volkswagen Jetta  2.5 20V 150/170CV TIPTRONIC GASOLINA 2010;110.000;km;Gasolina;São Paulo, Vila Romana
