Valor;Titulo;Quilometragem;Cambio;Combustivel;Localizacao
R$ 36.990;Fiat Uno 1.0 Atractive Manual 2019;39.000;km;Flex;São Paulo, Imirim
R$ 18.990;Gm Prisma MAxx - 1.4 - Flex - Sem entrada !!;235.000;km;Flex;São Paulo, Jardim Helena
R$ 79.900;RENEGADE 2019/2019 1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;40.128;km;Flex;São Paulo, Vila Leopoldina
R$ 44.900;Fox Conect 14000km;14.000;km;Flex;São Paulo, Vila Maria Trindade
R$ 24.900;SANDERO 2014/2014 1.0 EXPRESSION 16V FLEX 4P MANUAL;74.000;km;Flex;São Paulo, Vila Ivone
R$ 27.000;Ecosport 2009 Freestyle (R a r i d a d e);86.000;km;Flex;São Paulo, Jardim Leonor Mendes de Barros
R$ 29.000;Sonic HB LTZ 1.6;46.810;km;Flex;Osasco, Centro
R$ 34.990;Hb20s 2015 manual sedan;70.000;km;km;São Paulo, Ipiranga
R$ 26.000;Montana ls;105.000;km;Flex;São Paulo, Parque Maria Helena
R$ 87.300;RENEGADE 2019/2020 1.8 16V FLEX LONGITUDE 4P AUTOMÁTICO;37.222;km;Flex;São Paulo, Vila Sônia
R$ 81.900;KICKS 2019/2020 1.6 16V FLEXSTART SV 4P XTRONIC;41.731;km;Flex;São Paulo, Vila Sônia
R$ 14.500;Santana 1995;148.134;km;Gasolina;São Paulo, Santa Teresinha
R$ 79.900;Audi q3 2.0 Tfsi Ambiente Quattro s Tronic;116.800;km;Gasolina;Jundiaí, Vila Loureiro
R$ 35.990;Hyundai HB20  1.6 Comfort Plus ;86.000;km;Flex;São Paulo, Socorro
R$ 75.900;HONDA CRV 2014/2014 2.0 EXL 4X2 16V FLEX 4P AUTOMÁTICO;78.000;km;Flex;São Paulo, Planalto Paulista
R$ 56.800;C4 LOUNGE 2016/2017 1.6 TENDANCE 16V TURBO FLEX 4P AUTOMÁTICO;32.577;km;Flex;São Paulo, Jardim Independência
R$ 4.000;Kadet ipanema ano 91;210.000;km;Gasolina;Diadema, Centro
R$ 33.000;Capitiva ;0;km;Gasolina;Osasco, Novo Osasco
R$ 5.500;Gol bola;127.000;km;Gasolina;Suzano, Recreio das Palmas
R$ 63.500;Audi A3 2015;74.000;km;Gasolina;São Paulo, Bom Retiro
R$ 8.000;Gol quadrado 1.8 AP 92;999.999;km;Gasolina;Itatiba, Jardim Virgínia
R$ 36.900;HB20S C.Plus C.Style1.0 Flex 12V Mec. 4P;93.887;km;Flex;São Paulo, Jardim Santo Elias
R$ 62.900;CITY Sedan EX 1.5 Flex 16V 4p Aut.;60.700;km;Flex;São Paulo, Jardim Santo Elias
R$ 4.000;Fiat uno 1.0 mille eletronic 8v 4p;92.867;km;Gasolina;São Paulo, Centro
R$ 39.500;Carro High Up;47.000;km;Flex;Barueri, Alphaville Centro Industrial e Empresarial/Alphaville.
R$ 36.000;Onix 1.4 LTZ;59.800;km;Flex;Bragança Paulista, Vila Santa Libânia
R$ 16.000;Somente rolo troco com gol quadrado ja equipado 1.6 ou 1.8 ou gol bolinha ;239.002;km;Álcool;Cotia, Jardim Japão (Caucaia do Alto)
R$ 84.900;NISSAN SENTRA 2.0 SV 16V FLEXSTART 4P AUTOM?TICO.;0;km;Flex;São Paulo, Ipiranga
R$ 19.000;Corsa Sedan Premium ;74.400;km;km;Santo André, Vila Suíça
R$ 36.490;Fox 1.6 Comfortiline 2016 único dono;35.724;km;Flex;Osasco, Centro
R$ 34.000;Saveiro tropper 2011;102.568;km;Flex;Jandira, Jardim Gabriela I
R$ 41.990;Fluence 2015 aut. dynamic 2.0 completo;69.000;km;Flex;São Paulo, Vila São Vicente
R$ 5.800;Renault twingo ;225.000;km;Gasolina;São Paulo, Jardim Dom Bosco
R$ 7.600;Niva 4x4 1.8 ap ,baja , buggy, gurgel;0;km;Álcool;São Paulo, Cidade Líder
R$ 16.500;Corsa hatch maxx 1.4 2011 econoflex ;135.000;km;Flex;Diadema, Taboão
R$ 6.800;Chevette SL 1.6s álcool;2;km;Gasolina;São Paulo, Fazenda da Juta
R$ 39.000; VENDA HONDA CR-V LX;207.800;km;Gasolina;Salto, Jardim D'Icaraí
R$ 25.900;Honda Prelude S 2.2 , não eclipse, mx3, calibra, tigra;99;km;Gasolina;São Paulo, Vila Formosa
R$ 81.990;NISSAN KICKS 1.6 Sl 2018 Aut - poucas unidades;44.900;km;Flex;São Paulo, Vila Andrade
R$ 66.500;TOYOTA ...YARIS... XL ... 1.5... AUTOMÁTICO...ANO 2019;2.415;km;Flex;Santo André, Parque das Nações
R$ 21.500;POLO 1.6  SEDAN COMPLETO 2008 EXCELENTE;120;km;Flex;Santo André, Paraíso
R$ 43.300;Voyage Mpi Mt 1.6** Thais Santos *;21.000;km;Flex;São Paulo, Jardim Independência
R$ 41.990;Fluence 2015 aut. dynamic 2.0 completo;69.000;km;Flex;São Paulo, Vila São Vicente
R$ 5.800;Renault twingo ;225.000;km;Gasolina;São Paulo, Jardim Dom Bosco
R$ 7.600;Niva 4x4 1.8 ap ,baja , buggy, gurgel;0;km;Álcool;São Paulo, Cidade Líder
R$ 16.500;Corsa hatch maxx 1.4 2011 econoflex ;135.000;km;Flex;Diadema, Taboão
R$ 6.800;Chevette SL 1.6s álcool;2;km;Gasolina;São Paulo, Fazenda da Juta
R$ 39.000; VENDA HONDA CR-V LX;207.800;km;Gasolina;Salto, Jardim D'Icaraí
